Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Afghanistan,AFG,..,..,51184181904,59667003515,65039839449,69058343420,71831696728,70097956090,74711922905,77442045726,82033979456,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Albania,ALB,8376888655,11931318530,29655456332,30530546078,30603925190,32529279134,33585730435,34739850854,36814039833,40054771493,41808952984,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Algeria,DZA,1.78161E+11,2.62201E+11,4.94931E+11,4.9733E+11,4.97988E+11,5.06135E+11,4.77357E+11,4.71383E+11,4.85802E+11,5.03608E+11,5.17495E+11,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Angola,AGO,38878269806,53931438614,1.62539E+11,1.86124E+11,1.99866E+11,2.20365E+11,2.04604E+11,2.04875E+11,2.17987E+11,2.18823E+11,2.21679E+11,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Antigua and Barbuda,ATG,725018275.8,1280195144,1816047262,1771798543,1720170789,1762288335,1769549897,1882863522,1893259104,2082683465,2222037123,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Argentina,ARG,2.34714E+11,4.28394E+11,7.97264E+11,8.19698E+11,8.49616E+11,8.39897E+11,8.67177E+11,8.85228E+11,1.03933E+12,1.03734E+12,1.0354E+12,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Armenia,ARM,9814665773,8160045755,23085520248,27009096449,28500152360,29231468082,29166842741,31429192104,35676528915,38445981548,42171217645,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Aruba,ABW,1448632316,2910162905,3502845775,3442855767,3763011244,3781966851,3836108976,3917952211,4050523376,..,..,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Australia,AUS,2.95756E+11,5.04135E+11,9.37507E+11,9.73601E+11,1.06163E+12,1.10055E+12,1.1024E+12,1.1452E+12,1.19647E+12,1.28387E+12,1.35398E+12,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Austria,AUT,1.49145E+11,2.3545E+11,3.73031E+11,3.91635E+11,4.0637E+11,4.1706E+11,4.30976E+11,4.60283E+11,4.78086E+11,5.20271E+11,5.36335E+11,..
